service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMB0,20250422,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250422,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250422,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250422,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250423,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250423,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250423,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250423,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250424,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250424,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250424,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250424,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250424,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250424,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250425,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250425,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250425,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250425,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250428,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250428,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250428,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250428,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250429,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250429,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250429,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250429,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250430,2
